sampler,trials,mean,median,best,std
smote,110,0.41634656858879954,0.41682143091749796,0.41895751860293495,0.002927990363057535
smote_tomek,80,0.41501046895057847,0.41674733993614554,0.4173533072321078,0.004838440658574424
smotenc_tomek,68,0.39991704500993147,0.4029961748641383,0.405121828621531,0.009293874683750923
random_over,72,0.3995346177755835,0.4017807328488619,0.4028945526379686,0.005112722865408216
smotenc_enn,105,0.3983248792812916,0.3992861093794842,0.40269917767509916,0.004051294132232508
smotenc,14,0.39658720578236517,0.39878875599316077,0.40331294079088775,0.007333230564875999
random_under,9,0.38348535997667305,0.3823797160245362,0.392641793706471,0.004363977815422708
smote_enn,2,0.37957392988148025,0.37957392988148025,0.3820275039245143,0.0034698776879453198
none,18,0.37171168669363747,0.3937114026901667,0.41603376759277577,0.04291713146055234
adasyn,2,0.3509455433266905,0.3509455433266905,0.3996558475729091,0.06888677289232216
